Date,Time,BMS- Power,MPSA- Ouput P,Load MFM- Active Power,BMS- State of Charge,DG MFM- Active Power,Irradiation,Solar MFM- Active Power
10-11-2024,07:45:01,-48,-53,0,16,13.3,132.3,45.9
10-11-2024,07:45:31,-48,-53,0,16,13.3,132.3,45.9
10-11-2024,07:46:01,-54,-58.6,0,16,11.6,144.7,58.2
10-11-2024,07:46:31,-54,-58.6,0,16,11.5,144.7,58.2
10-11-2024,07:47:01,-57,-60.2,0,17,11.7,149.9,60.2
10-11-2024,07:47:31,-57,-60.2,0,17,11.7,149.9,60.2
10-11-2024,07:48:01,-49,-53.1,0,17,11.8,137.2,53.9
10-11-2024,07:48:31,-49,-53.1,0,17,11.8,140.6,53.9
10-11-2024,07:49:01,-48,-51.4,0,17,11.2,136.5,53.4
10-11-2024,07:49:31,-48,-51.4,0,17,11.2,136.5,53.4
10-11-2024,07:50:01,-44,-48.5,0,18,11.1,129.9,50
10-11-2024,07:50:31,-46,-49.8,0,18,11.1,130.9,50
10-11-2024,07:51:01,-45,-49,0,18,11.1,131.9,49
10-11-2024,07:51:31,-45,-49.8,0,18,11.1,131.9,49
10-11-2024,07:52:01,-48,-52.7,0,19,11,136,51
10-11-2024,07:52:31,-48,-52.7,0,19,11,136,51
10-11-2024,07:53:01,-58,-62.7,0,19,11.1,151.7,62.2
10-11-2024,07:53:31,-58,-63,0,19,11.1,154.3,62.2
10-11-2024,07:54:01,-51,-57.3,0,19,11,143.4,63.5
10-11-2024,07:54:31,-51,-57.3,0,19,11.1,143,63.5
10-11-2024,07:55:01,-53,-55.2,0,20,11,147.4,56.2
10-11-2024,07:55:31,-53,-56.8,0,20,11,147.4,56.9
10-11-2024,07:56:01,-63,-68.7,0,20,11,168.3,63.6
10-11-2024,07:56:31,-63,-68.7,0,20,11,168.3,63.6
10-11-2024,07:57:01,-68,-72.8,0,21,11.1,174.6,71.4
10-11-2024,07:57:31,-68,-72.8,0,21,11.1,174.6,71.4
10-11-2024,07:58:01,-72,-77.1,0,21,11.1,188,77.6
10-11-2024,07:58:31,-72,-77.1,0,21,11.1,188,77.6
10-11-2024,07:59:01,-73,-78.2,0,22,11.5,189.7,78.3
10-11-2024,07:59:31,-72,-78.2,0,22,11.5,189.7,78.3
10-11-2024,08:00:01,-75,-79.6,0,22,11.2,192.4,80.1
10-11-2024,08:00:31,-75,-80.3,0,22,11.2,193.6,80.1
10-11-2024,08:01:01,-74,-79.4,0,23,13.2,191.6,81
10-11-2024,08:01:31,-74,-79.4,0,23,13.2,191.6,81
10-11-2024,08:02:01,-74,-79,0,23,13,190.3,79.6
10-11-2024,08:02:31,-74,-79.1,0,23,13,191.4,79.8
10-11-2024,08:03:01,-59,-64.1,0,24,13,155,70.9
10-11-2024,08:03:31,-59,-64.1,0,24,13,155,70.9
10-11-2024,08:04:01,-53,-58.1,0,24,12.8,146.3,59.8
10-11-2024,08:04:31,-52,-58.1,0,24,12.8,146,59.8
10-11-2024,08:05:01,-54,-56.9,0,25,13.2,147.5,57.5
10-11-2024,08:05:31,-54,-57.2,0,25,13.2,147.5,57.5
10-11-2024,08:06:01,-54,-58.1,0,25,11.6,148.9,58.4
10-11-2024,08:06:31,-54,-58.1,0,25,11.6,148.9,58.4
